0.0805,14,0.074,0.087,0.074
0.0855,18,0.077,0.094,0.077
0.09095,21,0.08,0.101,0.08
0.09538,24,0.082,0.107,0.082
0.09896,27,0.083,0.113,0.083
0.10474,31,0.085,0.12,0.085
0.1085,36,0.086,0.128,0.086
0.11268,38,0.088,0.135,0.088
0.11667,42,0.089,0.142,0.089
0.11776,46,0.087,0.149,0.121
0.12153,51,0.084,0.156,0.129
0.12397,58,0.079,0.163,0.132
0.12625,65,0.075,0.171,0.131
0.12992,71,0.072,0.181,0.136
0.13289,76,0.068,0.191,0.138
0.13662,82,0.063,0.201,0.147
0.13851,83,0.058,0.211,0.151
0.14024,88,0.053,0.221,0.152
0.14174,95,0.045,0.231,0.154
0.13855,95,0.035,0.24,0.154
0.14044,103,0.023,0.249,0.158
0.13909,109,0.009,0.258,0.161
0.13786,111,0.0,0.269,0.162
0.13556,114,0.009,0.282,0.162
0.13557,110,0.002,0.296,0.154
0.13073,119,0.006,0.31,0.153
0.13218,125,0.002,0.325,0.156
0.13276,127,0.008,0.341,0.161
0.13359,133,0.002,0.359,0.166
0.13895,126,0.0,0.379,0.169
0.13784,127,0.002,0.399,0.173
0.13827,135,0.005,0.42,0.17
0.13659,124,0.007,0.44,0.173
0.13801,136,0.0,0.46,0.145
0.13869,137,0.0,0.48,0.166
0.13733,138,0.0,0.497,0.161
0.14495,140,0.0,0.514,0.177
0.14391,136,0.0,0.531,0.181
0.14485,136,0.002,0.545,0.201
0.14492,143,0.0,0.557,0.205
0.14451,137,0.001,0.571,0.219
0.14674,141,0.001,0.585,0.213
0.14209,138,0.0,0.599,0.215
0.14632,136,0.0,0.612,0.217
0.14145,143,0.0,0.625,0.219
0.15619,135,0.001,0.64,0.222
0.15974,133,0.001,0.656,0.221
0.15814,134,0.001,0.674,0.233
0.15931,138,0.0,0.697,0.235
0.1575,144,0.001,0.717,0.234
0.16669,137,0.0,0.736,0.212
0.16463,143,0.0,0.753,0.229
0.16967,134,0.001,0.769,0.218
0.1751,137,0.003,0.784,0.213
0.17353,145,0.001,0.798,0.225
0.18338,139,0.0,0.81,0.237
0.18041,143,0.0,0.822,0.22
0.18888,143,0.002,0.833,0.233
0.18434,148,0.001,0.843,0.234
0.19352,148,0.0,0.852,0.233
0.19336,149,0.001,0.861,0.247
0.20505,142,0.0,0.871,0.185
0.19988,144,0.0,0.881,0.198
0.21124,147,0.0,0.891,0.222
0.20678,156,0.0,0.9,0.234
0.20837,152,0.0,0.909,0.221
0.21939,148,0.0,0.916,0.215
0.21661,148,0.0,0.923,0.251
0.22234,146,0.0,0.929,0.254
0.22303,155,0.0,0.934,0.245
0.22496,158,0.001,0.939,0.249
0.22646,153,0.002,0.943,0.279
0.24223,152,0.001,0.947,0.246
0.24301,150,0.0,0.95,0.248
0.24031,156,0.002,0.952,0.25
0.24062,149,0.0,0.954,0.259
0.2443,149,0.0,0.957,0.26
0.23613,159,0.0,0.958,0.236
0.24219,150,0.001,0.96,0.276
0.24208,150,0.0,0.961,0.272
0.24225,153,0.001,0.963,0.269
0.23985,150,0.0,0.965,0.259
0.24248,151,0.0,0.966,0.24
0.24813,150,0.004,0.968,0.264
0.23799,150,0.003,0.969,0.267
0.24643,155,0.0,0.971,0.272
0.25091,159,0.002,0.972,0.275
0.24918,154,0.003,0.973,0.268
0.24932,152,0.002,0.975,0.289
0.24706,148,0.0,0.976,0.28
0.24313,158,0.0,0.977,0.273
0.24282,160,0.001,0.978,0.198
0.25717,143,0.003,0.979,0.259
0.25009,151,0.0,0.98,0.249
0.24966,157,0.0,0.98,0.216
0.2551,153,0.003,0.981,0.246
0.24489,155,0.0,0.981,0.256
0.25105,155,0.001,0.981,0.264
0.24678,159,0.0,0.981,0.251
0.24814,152,0.002,0.981,0.258
0.25634,152,0.0,0.982,0.259
0.25046,151,0.0,0.982,0.26
0.25154,153,0.003,0.982,0.26
0.25177,160,0.002,0.982,0.259
0.25389,158,0.0,0.982,0.293
0.25929,156,0.0,0.983,0.291
0.26026,155,0.001,0.983,0.293
0.26062,160,0.0,0.983,0.3
0.2534,154,0.001,0.983,0.305
0.2587,156,0.0,0.983,0.304
0.25176,156,0.0,0.983,0.295
0.24911,154,0.0,0.983,0.288
0.23764,150,0.0,0.982,0.283
0.24114,154,0.004,0.982,0.286
0.24466,150,0.002,0.982,0.292
0.2473,158,0.001,0.982,0.285
0.23985,161,0.0,0.982,0.272
0.24988,155,0.002,0.982,0.261
0.26436,143,0.006,0.982,0.28
0.25709,144,0.002,0.983,0.238
0.249,161,0.003,0.983,0.249
0.24871,157,0.002,0.984,0.251
0.25305,155,0.002,0.984,0.277
0.25321,150,0.001,0.984,0.286
0.25064,155,0.003,0.984,0.263
0.24546,155,0.0,0.984,0.266
0.24833,160,0.0,0.984,0.297
0.24782,158,0.0,0.984,0.3
0.2505,153,0.001,0.983,0.277
0.25017,155,0.003,0.983,0.275
0.24325,152,0.002,0.983,0.277
0.25192,153,0.005,0.983,0.271
0.24708,155,0.004,0.983,0.272
0.2564,149,0.002,0.983,0.274
0.24259,151,0.0,0.983,0.264
0.2444,156,0.0,0.983,0.262
0.25311,149,0.002,0.983,0.272
0.24525,161,0.004,0.984,0.285
0.24435,162,0.002,0.984,0.299
0.25632,151,0.002,0.984,0.307
0.2545,154,0.001,0.984,0.313
0.24855,161,0.0,0.984,0.303
0.24755,152,0.001,0.984,0.285
0.23585,155,0.002,0.984,0.285
0.24768,150,0.0,0.983,0.279
0.24003,152,0.0,0.983,0.274
0.24336,150,0.001,0.983,0.228
0.23038,153,0.0,0.983,0.227
0.23748,155,0.001,0.983,0.244
0.24099,150,0.001,0.982,0.252
0.25064,147,0.0,0.982,0.263
0.23642,159,0.002,0.982,0.266
0.23717,154,0.0,0.982,0.273
0.23367,162,0.002,0.982,0.272
0.24626,149,0.005,0.982,0.27
0.22862,153,0.0,0.982,0.264
0.23421,150,0.003,0.982,0.256
0.23039,150,0.001,0.982,0.252
0.23361,155,0.0,0.982,0.248
0.22653,159,0.0,0.983,0.23
0.23448,159,0.0,0.983,0.236
0.23897,155,0.001,0.983,0.245
0.24426,149,0.001,0.983,0.264
0.24154,154,0.002,0.983,0.262
0.24279,157,0.0,0.983,0.26
0.24439,158,0.0,0.982,0.259
0.24501,153,0.001,0.982,0.257
0.24402,150,0.002,0.982,0.257
0.23961,158,0.004,0.982,0.26
0.23299,161,0.002,0.981,0.262
0.23541,155,0.004,0.981,0.262
0.2378,144,0.005,0.981,0.26
0.23151,154,0.002,0.981,0.259
0.23049,158,0.002,0.981,0.261
0.24085,153,0.002,0.981,0.264
0.23033,160,0.001,0.981,0.264
0.23961,152,0.0,0.981,0.263
0.23779,150,0.001,0.981,0.261
0.24355,154,0.0,0.981,0.255
0.23264,159,0.002,0.981,0.251
0.23906,155,0.001,0.981,0.249
0.23987,142,0.002,0.981,0.249
0.23327,153,0.001,0.981,0.249
0.23523,152,0.002,0.981,0.251
0.23061,157,0.004,0.981,0.254
0.23696,154,0.0,0.981,0.25
0.24308,149,0.002,0.982,0.246
0.24145,148,0.001,0.982,0.271
0.25259,147,0.0,0.982,0.276
0.23816,160,0.003,0.982,0.279
0.24137,153,0.005,0.982,0.28
0.23608,157,0.001,0.982,0.281
0.24054,152,0.002,0.982,0.277
0.23353,158,0.0,0.981,0.27
0.22208,152,0.001,0.981,0.261
0.23784,148,0.003,0.981,0.26
0.22713,149,0.002,0.98,0.256
0.22824,158,0.0,0.981,0.254
0.22931,150,0.001,0.981,0.256
0.23938,152,0.0,0.981,0.228
