-0.08108,219,-0.08768,-0.07405
-0.08618,219,-0.09464,-0.07734
-0.09133,219,-0.1011,-0.08034
-0.09555,219,-0.10751,-0.08224
-0.10012,219,-0.11384,-0.0836
-0.10494,219,-0.12063,-0.08535
-0.10965,219,-0.12845,-0.08684
-0.11338,219,-0.13597,-0.08856
-0.11628,219,-0.1425,-0.08907
-0.11907,219,-0.14914,-0.08763
-0.12159,219,-0.15669,-0.08405
-0.12379,219,-0.16378,-0.07992
-0.1258,219,-0.1719,-0.07564
-0.12815,219,-0.18114,-0.07207
-0.13038,219,-0.19114,-0.0681
-0.13271,219,-0.20155,-0.06376
-0.13452,219,-0.21182,-0.05883
-0.13589,219,-0.22165,-0.05302
-0.13685,219,-0.2312,-0.04591
-0.13679,219,-0.24032,-0.03539
-0.13595,219,-0.24941,-0.02338
-0.13505,219,-0.2581,-0.0094
-0.13382,218,-0.26951,-0.00082
-0.13268,217,-0.28264,-0.01
-0.13126,216,-0.29605,-0.02321
-0.12914,216,-0.31011,-0.00667
-0.12944,213,-0.32527,-0.0157
-0.12899,213,-0.34192,-0.0083
-0.12956,212,-0.35961,-0.0037
-0.1314,210,-0.37936,-0.00075
-0.13306,207,-0.3993,-0.01632
-0.13182,207,-0.42003,-0.00503
-0.13018,206,-0.44062,-0.01211
-0.12822,205,-0.46056,-0.00404
-0.12935,200,-0.48019,-0.00521
-0.12867,199,-0.49768,-0.00036
-0.13219,192,-0.51485,-0.00256
-0.1321,190,-0.53199,-0.00132
-0.13132,189,-0.54563,-0.00231
-0.13048,186,-0.55757,-0.0015
-0.12913,181,-0.57152,-0.00672
-0.12521,178,-0.58596,-0.00795
-0.1202,176,-0.59951,-0.0001
-0.12505,163,-0.61223,-0.00093
-0.1306,152,-0.626,-0.00135
-0.13404,145,-0.64085,-0.00308
-0.13393,144,-0.65646,-0.00119
-0.13622,141,-0.67489,-0.00162
-0.14027,137,-0.69705,-0.00126
-0.14209,136,-0.71746,-0.00264
-0.14643,133,-0.73614,-0.00021
-0.14913,132,-0.75346,-0.00032
-0.14808,135,-0.76981,-0.00141
-0.15183,133,-0.78471,-0.00373
-0.15325,133,-0.7983,-0.00295
-0.15387,133,-0.81065,-0.00042
-0.16105,127,-0.82225,-0.00283
-0.15648,130,-0.8336,-0.00294
-0.16355,124,-0.8437,-0.00286
-0.16582,123,-0.85272,-0.00185
-0.16989,121,-0.86159,-0.00137
-0.17261,121,-0.87134,-0.00398
-0.17464,121,-0.88149,-0.00175
