0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.00892,1,0.00892,0.00892
0.01928,2,0.01135,0.02722
0.02352,3,0.00244,0.04538
0.03846,3,0.01453,0.06501
0.03053,6,0.00283,0.08677
0.04606,6,0.01582,0.10817
0.0541,7,0.00285,0.13142
0.0558,9,0.00203,0.15649
0.05584,12,0.00298,0.183
0.0726,12,0.01357,0.21252
0.08459,13,0.00738,0.24187
0.09581,14,5e-05,0.27124
0.0835,19,0.0002,0.29954
0.09152,20,0.0011,0.32927
0.07831,27,0.00071,0.35717
0.08296,29,0.00023,0.38361
0.08933,30,0.00486,0.40783
0.09067,33,0.00089,0.4329
0.08944,38,0.00129,0.45883
0.09532,41,0.00183,0.48588
0.10526,43,0.00048,0.51435
0.09136,56,0.00056,0.54005
0.08592,67,0.00043,0.56567
0.08574,74,0.00123,0.58725
0.09064,75,0.00344,0.60594
0.09221,78,0.00327,0.6221
0.09206,82,0.00061,0.63721
0.09597,83,0.00141,0.65264
0.09735,86,0.0012,0.6655
0.10077,87,0.00039,0.67688
0.10961,84,0.0018,0.68904
0.11303,86,0.0036,0.70207
0.11956,86,0.0016,0.7164
0.12625,86,0.00152,0.72957
0.12459,92,0.0003,0.74241
0.13622,89,0.0068,0.75612
0.13509,95,0.0011,0.77044
0.1403,96,0.00087,0.78362
0.14297,98,0.00141,0.79533
0.14953,98,7e-05,0.80751
0.15726,98,0.00046,0.81923
0.162,99,0.00035,0.82928
0.16691,100,0.00155,0.83808
0.16429,105,0.00099,0.84547
0.16545,106,0.00067,0.8515
0.16533,107,0.00037,0.85675
0.16317,109,0.00095,0.86293
0.16425,110,0.00149,0.8688
0.16864,109,0.00277,0.8763
0.17175,110,0.00348,0.8842
0.1757,110,0.00185,0.89159
0.1789,111,0.0007,0.89883
0.18548,109,0.00207,0.90476
0.18931,109,0.00021,0.90967
0.18864,111,0.00168,0.91342
0.19075,110,0.00026,0.91633
0.19439,107,0.00385,0.91878
0.19413,106,0.00239,0.92085
0.19534,105,0.00101,0.92324
0.19339,107,0.00068,0.92585
0.18977,111,0.00291,0.92781
